address,balance,
MAN.7HXtg1WmTbXfe76Kemo7RchdMsoG,0.829375246,
MAN.7HenamKffxUUFreVaLeXGthDRQHx,0.8,
MAN.7Hrds48CvyQGZ2QrEssrMEDW6KqF,957.014098424808932233,
MAN.7KpPzNGLVQ8EKYY2V6wWXZ5s5p8C,0.8,
MAN.7PGgex1wngmBMvBViG6orcdNZ17t,0.481364957,
MAN.7QysHEoK2FzQktnxnqFLadvpgwyb,60,
MAN.7TwF6a8mCqpeGRGDfJsZxPFEuUUU,0.977840408,
MAN.7ea2SWxzXcgAWJf6YKaQg7y3q7vd,839.94908398,
MAN.7gSqZPA9hkYyGNxDSi943nzvHzpg,1,
MAN.7ih4S2MuWpfUtveqnoGjnxsb3gAx,88.432171299829608869,
MAN.7kop1CpKSSMCZpyGVgwYoYPZ4GtZ,2000.21936588,
MAN.7oY43tT9ZqAK7YUhxp8AYboySz42,555.469694141288640609,
MAN.7okWDvaKSSzJJgZdmwC78Gmkcfcw,0.68109168,
MAN.7op8rHkFH2vHErfEpUYJiayLqmVA,31880,
MAN.7rD8TzXU8uUUSTx1oFuPiRHtag5A,852,
MAN.7vzns3LuN7ZW8TxNmjDMoQRa23Ms,9109.737364090318693544,
MAN.7zHwG1z4x7n5RYmCLXcynwdnARGF,0.862220141,
MAN.82ZbkuD2nZy1BFvCej8eRWSbJqmE,8862.426522726535777893,
MAN.8HcmhtzQP3WBgQDPzC6NJxBQYmmF,0.452830245,
MAN.8HwkLS5ywpeZrmXSWNVMTZiQMfHM,0.914697645,
MAN.8XBniNkETeJRPQK85sKEFa15vwd6,0.447054913,
MAN.8YoxUb7fHBSvnYVshapMF82GW8iw,334.579119912,
MAN.8Z2Je7pDvvovPXX5xDeDQ9JjxyAC,8,
MAN.8ZvadqXteTo55e9wTwTF1U2sgoct,173.3437,
MAN.8as1yNTF1ie6XyKdV1wtunLwyrK7,162.28637176,
MAN.8atdXU4tUd14eqxYQA4BhwjvkqJD,410.009543998919772564,
MAN.8beYDEinJRaM7e2z97L5hUqvrHUV,538.28012176,
MAN.8cGVG6Q4qXq8wPRXdnQVrurxnSjq,0.766505804,
MAN.8dUpJqb1FWqhoP5FJoNGPSSgCHJJ,0.588629484,
MAN.8iSffGkTEChBV7ECrCXKb1rJ424e,0.435534078,
MAN.8oL2Xv8WLVRHftnRxencA3A66aTn,0.117131474,
MAN.8p9WV8EUgSk2PuPdzBSLHCzWHMzY,0.558093201,
MAN.8yCqy74ddZeLzKWjdXyZnXsQPM4i,13649.420202143808397302,
MAN.92R9XfctwTfBKQ3wY8EuYqpix2ak,0.8,
MAN.93bfjhZ9sfrgVAa6fALvEtPB5arT,0.350443936,
MAN.9AzvCFburivpVLZb5F6PLrWFdJ2E,0.088989404,
MAN.9CJ782QGXqcMghtF4YgYz3mQXhY2,10123.5496,
MAN.9QzPZcG91QPu9rEsMwmfBgRxmaoQ,0.13969589,
MAN.9UrWtbRXcvPRUc36qRDi4tHDDSZE,91.485789352,
MAN.9Va7yYvq3jyP54EonU4ELPGxmbtJ,0.8,
MAN.9apbaBH6N1SKLqdfHR7EtqUXiFvn,224.305122912,
MAN.9gUFwVV3C4VVAsaguNjVavjFZvr1,1.17857161028175594,
MAN.9kRvoG3kftVmAUyTqQTPqDhK3Nhx,0.278150955,
MAN.9tRMvd1FMcQFnjh1ya8YrNrvmyqe,0.374475562,
MAN.9xJQt6mRmDW3XxNeXtsh8JxEp2F1,20422.455650550390505629,
MAN.9z2GcqhZQYiuGxUtb6xxhvffQUv7,0.61494882,
MAN.9zhfwKkqppJ7fsaNMwtrMLcHCvi1,1197.562495354566999131,
MAN.AB7FnpiwgAmwhwX7wn2HfobmyHL2,0.430374684,
MAN.AC4eWjXxAecGdqSYh1W2dxNMmfU3,0.995061446,
MAN.AERGDQ8jSgbAcaTAJ7mqNSZcHMCn,1,
MAN.ALoJqpGRp55KWDnW9qu4VQJxdgFj,0.718187643301274999,
MAN.AVyqB4L152B3cx5Dcka2JFGGAzqr,0.762034826,
MAN.AXpXnae3cxXapDzpo2NxQqr1d6WG,0,
MAN.Acr1rfrbv4mP1TvahdiTiw3XtFM7,886971.224708,
MAN.Ad1tii3ZjnEn2N54r1DmdkuPKgHH,10,
MAN.Ag2Scbk6Nwvdzjj1S3RKKhfSnUug,0.43420918,
MAN.AnfPrBVJ3nnx4eRoZ1jwzSR9ZAJa,0,
MAN.B3ofaQhebG7fuxwLRiX3M4NckW5Q,0.704920179,
MAN.B476PZcSiXmstiA4drvJkPgYMah1,1,
MAN.B5u1XSXCfbhbDg46r672nBTn9Eop,5489.79425828,
MAN.B8A1CBzA1HoKWX4CqExHcKHiZjez,1,
MAN.B8UNVqsEhLdmuYNYSqQ3req7PRez,19262.31586774856336468,
MAN.B9i9iLnsjemDdTyFfz1WzLfaHTQa,0.000000000000047586,
MAN.BBNcibnSQP2fc4zpAL4gY2pE3ZWF,0.5256604,
MAN.BCgnQqa8JhwNByfwG3NHM4k6JXpB,1,
MAN.BDKJ92k34mUfGgE2iudjY2cDDDnQ,1045.40824676,
MAN.BFZQFjWoziuEdPmD3L9rsAwpuzHb,0.694902674,
MAN.BNhM732KQKdeuV6su9ZhaiFjghQM,81.20786876,
MAN.BXvo7roqDpTe8wp6g5yF6GskE1u9,0.764354179,
MAN.BYsSpHhEpUYEHcAASYzVzqScWFgW,628.340639421764620744,
MAN.BaFZVqfxNoqbJdD8D7yn7diAuiwX,0.287158558,
MAN.BnQD1GggrFYYojGJHLCvEd4jkrCi,51.84375,
MAN.BnoMZ6AMC3kBBk9hsD9hTy3TzWLV,0.8,
MAN.By2hcU9TdffDQoA7tzg3QjJxGuJx,0.462827292,
MAN.C7jAdUKeJ2gxdmun5Rw1wGjfeYVt,775.6447768,
MAN.C9Q1uG3yXd62sHe9UmRQM3jpAUwC,598.350587359485928316,
MAN.CAva2TiUzMKFeiTWwKn2RfjZjfvc,20,
MAN.CN2NhowsSjfZ6Nb3UfKbXsJDYfkK,0.961664346,
MAN.CVKQNGm9S4woomX1e7vh7pMLWEjD,211.60824676,
MAN.CZSC1JjQxQKMcEaNe28GuQxKtiVD,0.8,
MAN.CdPtkAhi411FutM3zZH57r8rikFb,0.856643241,
MAN.CeNp39mN1H9mexamhLvaT8DJV6YL,0.416408826,
